#,cocktail_id,cocktail_name,is_alcoholic,serving_glass,cocktail_picture,cocktail_details,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line,ingredient,servings,full_ingredient_line
22,11019,Alfie Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",lemon,0.506071429,1 1/2 oz lemon vodka,triple sec,1,1 dash triple sec,pineapple juice,0.06252,1 tblsp pineapple juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11020,Algonquin,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",whiskey,1.012142857,1 1/2 oz blended whiskey,dry vermouth,0.960677966,1 oz dry vermouth,pineapple juice,0.11336,1 oz pineapple juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17094,Alice in Wonderland,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Just mix the three ingredients one to one to one,amaretto liqueur,1,1 shot amaretto,orange liqueur,1,1 shot grand marnier,southern comfort,1,1 shot southern comfort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11021,Allegheny,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,dry vermouth,0.960677966,1 oz dry vermouth,bourbon,0.674761905,1 oz bourbon,blackberry,0.692196923,1 1/2 tsp blackberry brandy,lemon juice,1.5,1 1/2 tsp lemon juice,lemon peel,1,1 twist of lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11023,Almeria,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",rum,1.34952381,2 oz dark rum,kahlua,0.814367816,1 oz kahlua,egg white,1,1 egg white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,16082,Almond Chocolate Coffee,Alcoholic,Coffee mug,https://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,amaretto liqueur,0.610775862,3/4 oz amaretto,creme de cacao,0.385578231,1/2 oz dark creme de cacao,coffee,0.956624473,8 oz coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11024,Almond Joy,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",amaretto liqueur,0.407183908,1/2 oz amaretto,creme de cacao,0.385578231,1/2 oz white creme de cacao,light cream,1.889333333,2 oz light cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,11025,Amaretto And Cream,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",amaretto liqueur,1.221551724,1 1/2 oz amaretto,light cream,1.417,1 1/2 oz light cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,11026,Amaretto Mist,Alcoholic,Old-fashioned glass,https://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",amaretto liqueur,1.221551724,1 1/2 oz amaretto,lime,1,1 lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,11027,Amaretto Rose,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,amaretto liqueur,1.221551724,1 1/2 oz amaretto,lime juice,0.322045455,1/2 oz lime juice,club soda,1,club soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15194,Amaretto Shake,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,chocolate ice cream,1,2 scoops chocolate ice cream,brandy,1.34952381,2 oz brandy,amaretto liqueur,1.628735632,2 oz amaretto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,13731,Amaretto Sour,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Shake and strain. Garnish with a cherry and an orange slice.,amaretto liqueur,1.221551724,1 1/2 oz amaretto,sour mix,2.751456311,3 oz sour mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11028,Amaretto Stinger,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",amaretto liqueur,1.221551724,1 1/2 oz amaretto,creme de menthe,0.4251,3/4 oz white creme de menthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,14578,Amaretto Sunrise,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,amaretto liqueur,0.0052825,1 cl amaretto,orange juice,0.455261044,4 oz orange juice,grenadine,7.37E-05,1/4 cl grenadine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,17168,Amaretto Sunset,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",triple sec,0.0078125,1/2 jigger triple sec,amaretto liqueur,3,3 shots amaretto,cider,0.5,1/2 cup cider,ice,0.5,add 1/2 cup ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11029,Amaretto Tea,Alcoholic,Pousse cafe glass,https://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",tea,0.955280899,6 oz hot tea,amaretto liqueur,1.628735632,2 oz amaretto,whipped cream,1,chilled whipped cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,15941,Americano,Alcoholic,Collins glass,https://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",campari,0.649255441,1 oz campari,vermouth,0.960677966,1 oz red sweet vermouth,lemon peel,1,twist of lemon peel,orange peel,1,twist of orange peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,11034,Angel Face,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,Shake all ingredients with ice and strain contents into a cocktail glass.,apricot,0.404857143,1/2 oz apricot brandy,apple,0.077857143,1/2 oz apple brandy,gin,0.674761905,1 oz gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11050,Apricot Lady,Alcoholic,Old-fashioned glass,https://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",rum,1.012142857,1 1/2 oz light rum,apricot,0.809714286,1 oz apricot brandy,triple sec,0.001735833,1 tsp triple sec,lemon juice,2.834,1/2 oz lemon juice,egg white,1,1 egg white,orange,1,1 orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11053,Arise My Love,Alcoholic,Champagne flute,https://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.,champagne,1,chilled champagne,creme de menthe,0.112,1 tsp green creme de menthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11054,Arthur Tompkins,Alcoholic,Whiskey sour glass,https://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.",gin,1.34952381,2 oz gin,orange liqueur,0.286262626,1/2 oz grand marnier,lemon juice,2,2 tsp lemon juice,lemon peel,1,1 twist of lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11055,Artillery,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",vermouth,0.250169492,1 1/2 tsp sweet vermouth,gin,1.012142857,1 1/2 oz gin,bitters,2,2 dashes bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,13938,AT&T,Alcoholic,Highball Glass,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"Pour Vodka and Gin over ice, add Tonic and Stir",vodka,0.674761905,1 oz absolut vodka,gin,0.674761905,1 oz gin,water,0.478312236,4 oz tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,13423,Atlantic Sun,Alcoholic,Collins Glass,https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.",vodka,0.007043333,2 cl smirnoff vodka,southern comfort,0.006993024,2 cl southern comfort,fruit,0.08452,2 cl passion fruit syrup,sweet and sour sauce,2.02848,6 cl sweet and sour,club soda,1,1 dash club soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12756,Autodafe,Alcoholic,Highball glass,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,vodka,0.014086667,4 cl vodka,lime juice,1,1 dash lime juice,water,1,soda water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,17183,Bacardi Cocktail,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg,Shake together with ice. Strain into glass and serve.,rum,1.180833333,1 3/4 oz bacardi light rum,lime juice,0.644090909,1 oz lime juice,sugar syrup,0.010424298,1/2 tsp sugar syrup,grenadine,1,1 dash grenadine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,11060,Balmoral,Alcoholic,Cocktail glass,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",scotch,1.012142857,1 1/2 oz scotch,vermouth,0.480338983,1/2 oz sweet vermouth,dry vermouth,0.480338983,1/2 oz dry vermouth,bitters,2,2 dashes bitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
